application_date,approval_id,issue_date,latitude,longitude,project_id,complete_cancel_date,job_id,status,valuation
2015-01-28,1420937,2015-01-28,32.719282,-117.133618,406380,2015-02-16,791058,Completed,
,1411398,2015-01-28,32.954879,-117.200311,403728,2015-03-17,786036,Completed,
2015-01-28,1411405,2015-01-28,32.800929,-117.015123,403730,,786040,Issued,
2015-01-28,1424629,2015-01-28,32.756919,-117.121411,407371,,792961,Issued,
2015-09-16,1426250,2015-01-28,32.955707,-117.114801,407788,2015-04-16,793825,Completed,
2015-01-28,1424382,2015-01-28,32.702761,-117.023929,407304,2015-02-24,792837,Completed,
2015-01-28,1424395,2015-01-28,32.709167,-117.045269,407308,2015-04-25,792850,Completed,
2015-01-28,1417836,2015-01-28,32.744534,-117.228383,405555,2015-02-11,789455,Completed,
2015-01-28,1426293,2015-01-28,32.929369,-117.128989,407356,2015-03-06,792935,Completed,
2015-01-26,1421059,2015-01-28,32.772604,-117.063084,406414,2015-04-16,791122,Completed,
2015-01-28,1424549,2015-01-28,32.967445,-117.13891,407328,,792885,Issued,
